date,score
Sun Dec 17 22:07:52 UTC 2017,23.89
Sun Dec 17 22:08:00 UTC 2017,23.89
Sun Dec 17 22:08:09 UTC 2017,23.89
Sun Dec 17 22:08:20 UTC 2017,23.89
Sun Dec 17 22:08:32 UTC 2017,23.89
Sun Dec 17 22:08:41 UTC 2017,23.89
Sun Dec 17 22:08:49 UTC 2017,23.89
Sun Dec 17 22:08:57 UTC 2017,23.89
Sun Dec 17 22:09:06 UTC 2017,23.89
Sun Dec 17 22:09:15 UTC 2017,23.89
Sun Dec 17 22:09:24 UTC 2017,23.89
Sun Dec 17 22:09:33 UTC 2017,23.89
Sun Dec 17 22:09:42 UTC 2017,23.89
Sun Dec 17 22:09:51 UTC 2017,23.89
Sun Dec 17 22:10:00 UTC 2017,23.89
Sun Dec 17 22:10:10 UTC 2017,23.89
Sun Dec 17 22:10:19 UTC 2017,23.89
Sun Dec 17 22:10:32 UTC 2017,23.89
Sun Dec 17 22:10:43 UTC 2017,23.89
Sun Dec 17 22:10:52 UTC 2017,23.89
Sun Dec 17 22:11:01 UTC 2017,23.89
Sun Dec 17 22:11:22 UTC 2017,23.89
Sun Dec 17 22:11:35 UTC 2017,23.89
Sun Dec 17 22:11:44 UTC 2017,23.89
Sun Dec 17 22:11:52 UTC 2017,23.89
Sun Dec 17 22:12:00 UTC 2017,23.89
Sun Dec 17 22:12:11 UTC 2017,23.89
Sun Dec 17 22:12:21 UTC 2017,23.89
Sun Dec 17 22:12:33 UTC 2017,23.89
Sun Dec 17 22:12:42 UTC 2017,23.89
Sun Dec 17 22:12:50 UTC 2017,23.89
Sun Dec 17 22:13:00 UTC 2017,23.89
Sun Dec 17 22:13:08 UTC 2017,23.89
Sun Dec 17 22:13:20 UTC 2017,23.89
Sun Dec 17 22:13:31 UTC 2017,23.89
Sun Dec 17 22:13:41 UTC 2017,23.89
Sun Dec 17 22:13:49 UTC 2017,23.9
Sun Dec 17 22:13:58 UTC 2017,23.89
Sun Dec 17 22:14:06 UTC 2017,23.89
Sun Dec 17 22:14:14 UTC 2017,23.89
Sun Dec 17 22:14:25 UTC 2017,23.89
Sun Dec 17 22:14:35 UTC 2017,23.89
Sun Dec 17 22:14:43 UTC 2017,23.9
Sun Dec 17 22:14:53 UTC 2017,23.9
Sun Dec 17 22:15:04 UTC 2017,23.89
Sun Dec 17 22:15:13 UTC 2017,23.9
Sun Dec 17 22:15:22 UTC 2017,23.89
Sun Dec 17 22:15:32 UTC 2017,23.89
Sun Dec 17 22:15:44 UTC 2017,23.89
Sun Dec 17 22:15:52 UTC 2017,23.9
Sun Dec 17 22:16:02 UTC 2017,23.9
Sun Dec 17 22:16:11 UTC 2017,23.9
Sun Dec 17 22:16:20 UTC 2017,23.9
Sun Dec 17 22:16:34 UTC 2017,23.9
Sun Dec 17 22:16:42 UTC 2017,23.9
Sun Dec 17 22:16:51 UTC 2017,23.9
Sun Dec 17 22:17:00 UTC 2017,23.9
Sun Dec 17 22:17:08 UTC 2017,23.9
Sun Dec 17 22:17:17 UTC 2017,23.9
Sun Dec 17 22:17:26 UTC 2017,23.9
Sun Dec 17 22:17:35 UTC 2017,23.9
Sun Dec 17 22:17:44 UTC 2017,23.9
Sun Dec 17 22:17:53 UTC 2017,23.9
Sun Dec 17 22:18:16 UTC 2017,23.9
Sun Dec 17 22:18:29 UTC 2017,23.9
Sun Dec 17 22:18:37 UTC 2017,23.9
Sun Dec 17 22:18:45 UTC 2017,23.9
Sun Dec 17 22:18:53 UTC 2017,23.9
Sun Dec 17 22:19:01 UTC 2017,23.9
Sun Dec 17 22:19:10 UTC 2017,23.9
Sun Dec 17 22:19:19 UTC 2017,23.9
Sun Dec 17 22:19:28 UTC 2017,23.9
Sun Dec 17 22:19:36 UTC 2017,23.9
Sun Dec 17 22:19:46 UTC 2017,23.9
Sun Dec 17 22:19:54 UTC 2017,23.91
Sun Dec 17 22:20:02 UTC 2017,23.91
Sun Dec 17 22:20:13 UTC 2017,23.91
Sun Dec 17 22:20:22 UTC 2017,23.91
Sun Dec 17 22:20:34 UTC 2017,23.9
Sun Dec 17 22:20:43 UTC 2017,23.9
Sun Dec 17 22:20:52 UTC 2017,23.9
Sun Dec 17 22:21:02 UTC 2017,23.9
Sun Dec 17 22:21:11 UTC 2017,23.9
Sun Dec 17 22:21:20 UTC 2017,23.9
Sun Dec 17 22:21:43 UTC 2017,23.9
Sun Dec 17 22:21:51 UTC 2017,23.9
Sun Dec 17 22:22:00 UTC 2017,23.9
Sun Dec 17 22:22:08 UTC 2017,23.9
Sun Dec 17 22:22:16 UTC 2017,23.9
Sun Dec 17 22:22:28 UTC 2017,23.9
Sun Dec 17 22:22:36 UTC 2017,23.9
Sun Dec 17 22:22:44 UTC 2017,23.9
Sun Dec 17 22:22:53 UTC 2017,23.9
Sun Dec 17 22:23:03 UTC 2017,23.9
Sun Dec 17 22:23:13 UTC 2017,23.9
Sun Dec 17 22:23:23 UTC 2017,23.9
Sun Dec 17 22:23:33 UTC 2017,23.9
Sun Dec 17 22:23:42 UTC 2017,23.9
Sun Dec 17 22:23:51 UTC 2017,23.9
Sun Dec 17 22:24:00 UTC 2017,23.9
Sun Dec 17 22:24:10 UTC 2017,23.9
Sun Dec 17 22:24:19 UTC 2017,23.9
Sun Dec 17 22:24:41 UTC 2017,23.9
Sun Dec 17 22:24:50 UTC 2017,23.9
Sun Dec 17 22:25:00 UTC 2017,23.9
Sun Dec 17 22:25:08 UTC 2017,23.9
Sun Dec 17 22:25:16 UTC 2017,23.9
Sun Dec 17 22:25:26 UTC 2017,23.9
Sun Dec 17 22:25:34 UTC 2017,23.9
Sun Dec 17 22:25:42 UTC 2017,23.9
Sun Dec 17 22:25:51 UTC 2017,23.9
Sun Dec 17 22:25:59 UTC 2017,23.9
Sun Dec 17 22:26:07 UTC 2017,23.9
Sun Dec 17 22:26:15 UTC 2017,23.9
Sun Dec 17 22:26:28 UTC 2017,23.91
Sun Dec 17 22:26:36 UTC 2017,23.91
Sun Dec 17 22:26:45 UTC 2017,23.91
Sun Dec 17 22:26:55 UTC 2017,23.91
Sun Dec 17 22:27:04 UTC 2017,23.91
Sun Dec 17 22:27:12 UTC 2017,23.91
Sun Dec 17 22:27:20 UTC 2017,23.91
Sun Dec 17 22:27:29 UTC 2017,23.92
Sun Dec 17 22:27:38 UTC 2017,23.92
Sun Dec 17 22:27:48 UTC 2017,23.92
Sun Dec 17 22:27:56 UTC 2017,23.92
Sun Dec 17 22:28:05 UTC 2017,23.92
Sun Dec 17 22:28:13 UTC 2017,23.92
Sun Dec 17 22:28:21 UTC 2017,23.92
Sun Dec 17 22:28:35 UTC 2017,23.92
Sun Dec 17 22:28:45 UTC 2017,23.92
Sun Dec 17 22:28:53 UTC 2017,23.92
Sun Dec 17 22:29:03 UTC 2017,23.92
Sun Dec 17 22:29:10 UTC 2017,23.92
Sun Dec 17 22:29:19 UTC 2017,23.92
Sun Dec 17 22:29:27 UTC 2017,23.92
Sun Dec 17 22:29:36 UTC 2017,23.92
Sun Dec 17 22:29:44 UTC 2017,23.92
Sun Dec 17 22:29:53 UTC 2017,23.92
Sun Dec 17 22:30:02 UTC 2017,23.92
Sun Dec 17 22:30:10 UTC 2017,23.92
Sun Dec 17 22:30:18 UTC 2017,23.92
Sun Dec 17 22:30:30 UTC 2017,23.92
Sun Dec 17 22:30:38 UTC 2017,23.92
Sun Dec 17 22:30:46 UTC 2017,23.92
Sun Dec 17 22:30:55 UTC 2017,23.92
Sun Dec 17 22:31:03 UTC 2017,23.92
Sun Dec 17 22:31:15 UTC 2017,23.92
Sun Dec 17 22:31:26 UTC 2017,23.92
Sun Dec 17 22:31:35 UTC 2017,23.93
Sun Dec 17 22:31:44 UTC 2017,23.92
Sun Dec 17 22:31:54 UTC 2017,23.92
Sun Dec 17 22:32:02 UTC 2017,23.92
Sun Dec 17 22:32:13 UTC 2017,23.92
Sun Dec 17 22:32:22 UTC 2017,23.93
Sun Dec 17 22:32:33 UTC 2017,23.92
Sun Dec 17 22:32:41 UTC 2017,23.92
Sun Dec 17 22:32:49 UTC 2017,23.92
Sun Dec 17 22:32:58 UTC 2017,23.92
Sun Dec 17 22:33:07 UTC 2017,23.92
Sun Dec 17 22:33:16 UTC 2017,23.92
Sun Dec 17 22:33:25 UTC 2017,23.92
Sun Dec 17 22:33:34 UTC 2017,23.92
Sun Dec 17 22:33:42 UTC 2017,23.92
Sun Dec 17 22:33:52 UTC 2017,23.92
Sun Dec 17 22:34:02 UTC 2017,23.93
